History Date/Time,Recorded Date,CRNo,Stage Desc.,Date Cleared,Inspection,LCA,Action Due,Stage,LCA Description,Description
01/11/2020 08:05,01/11/2020,789951,RECORDED,,,,LIGHTING,1,,
01/11/2020 08:56,01/11/2020,789952,RECORDED,,,,EMERG MS,1,,
01/11/2020 09:35,01/11/2020,789953,RECORDED,,,,SITEINSP,1,,
01/11/2020 09:59,01/11/2020,789951,CLEARED,,,,SITEINSP,1,This has now been resolved.,
01/11/2020 11:00,01/11/2020,789954,RECORDED,,,,EMERG MS,1,,
01/11/2020 11:27,01/11/2020,789955,RECORDED,,,,SITEINSP,1,,
01/11/2020 11:45,01/11/2020,789956,RECORDED,,,,EMERG MS,1,,
01/11/2020 11:47,01/11/2020,789957,RECORDED,,,,EMERG MS,1,,
01/11/2020 12:07,01/11/2020,789958,RECORDED,,,,EMERG MS,1,,
01/11/2020 12:24,01/11/2020,789959,RECORDED,,,,EMERG MS,1,,
01/11/2020 13:57,01/11/2020,789960,RECORDED,,,,SITEINSP,1,,
01/11/2020 14:05,01/11/2020,789961,RECORDED,,,,SITEINSP,1,,
01/11/2020 16:44,01/11/2020,789962,RECORDED,,,,SITEINSP,1,,
